querytime,id,occupancy,from,to,train_series,train_direction,train_type
2016-07-28 21:58:40+02:00,-1,low,8813003,8892007,500,back,IC
2016-07-28 22:02:39+02:00,-1,low,8891140,8891132,500,back,L
2016-07-28 22:28:40+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-28 23:40:30+02:00,-1,low,8813003,8892007,500,back,IC
2016-07-29 00:45:26+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-29 00:45:57+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-29 01:03:18+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-29 02:32:11+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-29 12:21:33+02:00,-1,medium,8891140,8891009,2800,back,IC
2016-07-29 12:34:26+02:00,-1,low,8891009,8891033,500,back,L
2016-07-29 12:34:36+02:00,-1,low,8891033,8891629,500,back,L
2016-07-29 12:34:45+02:00,-1,low,8891629,8891173,500,back,L
2016-07-29 12:43:57+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-29 13:03:35+02:00,-1,low,8891173,8891629,500,away,L
2016-07-29 13:03:40+02:00,-1,low,8891629,8891033,500,away,L
2016-07-29 13:03:46+02:00,-1,low,8891033,8891009,500,away,L
2016-07-29 13:09:36+02:00,-1,low,8812211,8812047,42100,back,S
2016-07-29 13:25:15+02:00,-1,low,8812047,8813003,3200,back,IC
2016-07-29 13:45:50+02:00,-1,low,8891009,8891140,2800,away,IC
2016-07-29 18:43:23+02:00,-1,low,8812211,8813003,102000,back,S
2016-07-30 10:30:05+02:00,-1,medium,8892007,8892205,3600,back,IC
2016-07-30 10:44:26+02:00,-1,low,8892007,8813003,500,away,IC
2016-07-30 10:45:10+02:00,-1,low,8892007,8813003,1500,away,IC
2016-07-30 15:15:19+02:00,-1,high,8811189,8813003,3300,back,IC
2016-07-30 15:15:46+02:00,-1,low,8811189,8821121,3100,away,IC
2016-07-30 15:42:22+02:00,-1,low,8822004,8822343,3100,away,IC
2016-07-30 15:42:27+02:00,-1,low,8822343,8821238,3100,away,IC
2016-07-30 15:42:32+02:00,-1,low,8821238,8821121,3100,away,IC
2016-07-30 15:57:46+02:00,-1,medium,8821121,8821600,4200,back,IC
2016-07-30 16:07:45+02:00,-1,medium,8821600,8821659,4200,back,IC
2016-07-31 16:39:07+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-31 16:39:14+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-31 19:31:07+02:00,-1,high,8891009,8891009,2300,away,IC
2016-07-31 21:02:35+02:00,-1,low,8821907,8821717,4200,away,IC
2016-07-31 21:02:50+02:00,-1,medium,8821717,8832458,4400,away,IC
2016-07-31 21:02:55+02:00,-1,low,8832409,8832045,4400,away,IC
2016-08-01 16:38:21+02:00,-1,low,8891140,8892007,2800,away,IC
2016-08-01 16:38:54+02:00,-1,low,8892007,8893120,700,back,IC
2016-08-01 16:39:00+02:00,-1,low,8893120,8894201,700,back,IC
2016-08-01 16:39:08+02:00,-1,low,8894201,8894508,700,back,IC
2016-08-02 09:11:32+02:00,-1,low,8831005,8814001,2200,back,IC
2016-08-02 09:39:50+02:00,-1,low,8892007,8814001,500,away,IC
2016-08-02 10:12:37+02:00,-1,low,8812005,8813003,2200,back,IC
2016-08-02 10:12:43+02:00,-1,low,8833209,8812005,2200,back,IC
2016-08-02 10:12:46+02:00,-1,low,8831401,8833209,2200,back,IC
2016-08-02 10:21:57+02:00,-1,low,8814001,8892007,2800,back,IC
2016-08-02 10:44:44+02:00,-1,medium,8814001,8731901,9800,back,TGV
2016-08-02 11:19:33+02:00,-1,low,8894508,8894201,700,away,IC
2016-08-02 11:19:43+02:00,-1,low,8894201,8893120,700,away,IC
2016-08-02 11:19:47+02:00,-1,low,8893120,8892007,700,away,IC
2016-08-02 11:38:11+02:00,-1,medium,8892007,8891009,500,back,IC
2016-08-02 13:53:08+02:00,-1,high,8892007,8814001,1500,away,IC
2016-08-02 13:54:01+02:00,-1,medium,8831005,8812005,2200,back,IC
2016-08-02 15:39:07+02:00,-1,low,8892007,8893120,700,back,IC
2016-08-02 15:39:12+02:00,-1,low,8893120,8894201,700,back,IC
2016-08-02 15:48:52+02:00,-1,low,8894201,8894508,700,back,IC
2016-08-02 16:07:11+02:00,-1,low,8821006,8893120,1800,back,IC
2016-08-02 16:17:36+02:00,-1,low,8894508,8821121,700,back,IC
2016-08-02 16:17:43+02:00,-1,low,8821121,8821006,700,back,IC
2016-08-02 17:02:57+02:00,-1,low,8821006,8821121,4200,back,IC
2016-08-02 17:03:03+02:00,-1,low,8821121,8821600,4200,back,IC
2016-08-02 17:03:08+02:00,-1,low,8821600,8821717,4200,back,IC
2016-08-02 17:30:18+02:00,-1,low,8821964,8821907,4200,back,IC
2016-08-03 00:34:14+02:00,-1,high,8821907,8814001,4200,away,IC
2016-08-03 00:34:56+02:00,-1,high,8821907,8814001,4200,away,IC
2016-08-03 14:15:45+02:00,-1,low,8831765,8814001,1500,back,IC
2016-08-04 09:30:09+02:00,-1,low,8821907,8821964,4200,away,IC
2016-08-04 09:43:08+02:00,-1,low,8821964,8821717,4200,away,IC
2016-08-04 09:43:13+02:00,-1,low,8821717,8821600,4200,away,IC
2016-08-04 10:04:46+02:00,-1,low,8821600,8821121,4200,away,IC
2016-08-04 10:19:44+02:00,-1,low,8821196,8894748,1800,back,IC
2016-08-04 10:34:25+02:00,-1,medium,8894508,8894201,1800,back,IC
2016-08-04 10:43:27+02:00,-1,medium,8894201,8893120,1800,back,IC
2016-08-04 10:57:38+02:00,-1,medium,8893120,8892007,1800,back,IC
2016-08-04 11:09:56+02:00,-1,medium,8892007,8891009,1800,back,IC
2016-08-04 11:35:55+02:00,-1,medium,8891009,8891702,1800,back,IC
2016-08-04 12:52:05+02:00,-1,low,8891702,8891009,500,away,IC
2016-08-04 13:19:49+02:00,-1,low,8892007,8814001,500,away,IC
2016-08-04 13:56:34+02:00,-1,low,8814001,8813003,500,away,IC
2016-08-04 14:07:15+02:00,-1,low,8812005,8833001,500,away,IC
2016-08-04 14:17:22+02:00,-1,low,8812070,8812013,103800,away,S
2016-08-04 14:27:46+02:00,-1,low,8833001,8841004,500,away,IC
2016-08-04 16:20:24+02:00,-1,low,8841004,8833001,500,back,IC
2016-08-04 16:33:32+02:00,-1,low,8833001,8833233,2900,back,IC
2016-08-04 16:49:02+02:00,-1,low,8833233,8833209,2900,back,IC
2016-08-04 16:50:59+02:00,-1,low,8833209,8821832,2900,back,IC
2016-08-04 17:12:07+02:00,-1,medium,8892007,8814001,3600,away,IC
2016-08-04 17:12:58+02:00,-1,low,8821832,8821600,2900,back,IC
2016-08-04 17:13:03+02:00,-1,low,8821600,8821121,2900,back,IC
2016-08-04 17:22:59+02:00,-1,medium,8821600,8821717,3400,away,IC
2016-08-04 18:44:08+02:00,-1,low,8821717,8821964,3400,away,IC
2016-08-04 18:44:13+02:00,-1,low,8821964,8821907,3400,away,IC
2016-08-05 12:06:32+02:00,-1,low,8833001,8832250,2400,away,L
2016-08-07 12:37:09+02:00,-1,low,8832250,8821006,4400,back,IC
2016-08-07 13:20:21+02:00,-1,medium,8832433,8821006,4300,back,IC
2016-08-07 16:08:34+02:00,-1,medium,8875002,8892007,3900,back,IC
2016-08-07 16:09:26+02:00,-1,low,8872009,8872009,3900,back,IC
2016-08-07 19:56:27+02:00,-1,high,8891702,8892007,500,away,IC
2016-08-07 22:23:00+02:00,-1,low,8842846,8841525,5500,back,L
2016-08-08 10:21:37+02:00,-1,low,8821907,8821964,3400,back,IC
2016-08-08 10:21:42+02:00,-1,low,8821964,8821717,3400,back,IC
2016-08-08 10:21:53+02:00,-1,low,8821717,8821600,3400,back,IC
2016-08-08 10:40:13+02:00,-1,low,8821600,8822004,3400,back,IC
2016-08-08 11:23:18+02:00,-1,low,8822004,8811189,3400,back,IC
2016-08-08 11:23:23+02:00,-1,low,8811189,8812005,3400,back,IC
2016-08-08 11:23:27+02:00,-1,low,8812005,8813003,3400,back,IC
2016-08-08 11:23:31+02:00,-1,low,8813003,8814001,3400,back,IC
2016-08-08 11:46:13+02:00,-1,low,8814308,8883808,3400,back,IC
2016-08-08 12:16:57+02:00,-1,low,8883808,8883006,3400,back,IC
2016-08-08 12:17:01+02:00,-1,low,8883006,8883212,3400,back,IC
2016-08-08 12:17:05+02:00,-1,low,8883212,8882107,3400,back,IC
2016-08-08 12:50:13+02:00,-1,low,8882206,8872009,900,away,IC
2016-08-08 15:23:51+02:00,-1,low,8871100,8871308,2000,away,IC
2016-08-08 15:23:56+02:00,-1,low,8871308,8814209,2000,away,IC
2016-08-08 15:24:00+02:00,-1,low,8814209,8814258,2000,away,IC
2016-08-08 15:49:18+02:00,-1,medium,8814001,8813003,2000,away,IC
2016-08-08 15:58:08+02:00,-1,medium,8813003,8812005,2000,away,IC
2016-08-08 15:58:13+02:00,-1,medium,8812005,8822004,2000,away,IC
2016-08-08 16:19:26+02:00,-1,medium,8822004,8821121,2000,away,IC
2016-08-08 16:55:33+02:00,-1,low,8821006,8821121,4200,back,IC
2016-08-08 16:55:47+02:00,-1,low,8821121,8821600,4200,back,IC
2016-08-08 17:09:31+02:00,-1,low,8821600,8821717,4200,back,IC
2016-08-08 17:20:12+02:00,-1,low,8821717,8821964,4200,back,IC
2016-08-09 12:23:22+02:00,-1,low,8821006,8832250,4300,away,IC
2016-08-09 12:23:23+02:00,-1,low,8821006,8832250,4300,away,IC
2016-08-09 16:51:41+02:00,-1,medium,8821121,8893120,700,away,IC
2016-08-09 17:42:50+02:00,-1,high,8811916,8811601,2400,away,IC
2016-08-10 08:53:55+02:00,-1,low,8200518,8821006,2500,back,L
2016-08-10 13:13:07+02:00,-1,low,8821907,8821964,3400,back,IC
2016-08-10 13:13:13+02:00,-1,low,8821964,8821717,3400,back,IC
2016-08-10 13:20:21+02:00,-1,medium,8891140,8891009,2800,back,IC
2016-08-10 13:24:19+02:00,-1,low,8821717,8821600,3400,back,IC
2016-08-10 13:37:52+02:00,-1,low,8821600,8822004,3400,back,IC
2016-08-10 13:56:34+02:00,-1,low,8822004,8811189,3400,back,IC
2016-08-10 14:14:33+02:00,-1,low,8811189,8812005,3400,back,IC
2016-08-10 14:16:39+02:00,-1,low,8812005,8813003,3400,back,IC
2016-08-10 20:52:38+02:00,-1,low,8814001,8813003,3400,away,IC
2016-08-10 20:53:05+02:00,-1,low,8813003,8812005,3400,away,IC
2016-08-10 20:53:11+02:00,-1,low,8812005,8811189,3400,away,IC
2016-08-10 20:53:15+02:00,-1,low,8811189,8822004,3400,away,IC
2016-08-10 21:02:20+02:00,-1,low,8822004,8821600,3400,away,IC
2016-08-10 21:24:00+02:00,-1,low,8821600,8821717,3400,away,IC
2016-08-11 10:28:25+02:00,-1,low,8821907,8821964,4200,away,IC
2016-08-11 10:39:40+02:00,-1,low,8821964,8821717,4200,away,IC
2016-08-11 10:39:44+02:00,-1,low,8821717,8821600,4200,away,IC
2016-08-11 10:57:56+02:00,-1,low,8821600,8821121,4200,away,IC
2016-08-11 11:16:51+02:00,-1,low,8821121,8821006,4200,away,IC
2016-08-11 11:25:33+02:00,-1,low,8821006,8821121,2000,back,IC
2016-08-11 11:40:12+02:00,-1,low,8821121,8822004,2000,back,IC
2016-08-11 11:45:40+02:00,-1,low,8822004,8812005,2000,back,IC
2016-08-11 12:09:09+02:00,-1,low,8892007,8833001,500,away,IC
2016-08-11 12:39:13+02:00,-1,low,8813003,8812005,2100,away,IC
2016-08-11 12:52:17+02:00,-1,low,8833001,8831005,2600,away,IC
2016-08-11 13:07:37+02:00,-1,high,8814001,8892007,500,back,IC
2016-08-11 13:29:53+02:00,-1,medium,8861200,8863008,2100,away,IC
2016-08-11 13:30:07+02:00,-1,low,8811916,8811304,2100,away,IC
2016-08-11 13:30:11+02:00,-1,low,8811304,8811601,2100,away,IC
2016-08-11 13:30:21+02:00,-1,medium,8811601,8861200,2100,away,IC
2016-08-11 14:45:22+02:00,-1,medium,8863008,8864501,2100,away,IC
2016-08-11 15:30:39+02:00,-1,low,8831005,8831039,1500,back,IC
2016-08-11 15:32:33+02:00,-1,low,8831005,8892007,1500,back,IC
2016-08-11 16:51:51+02:00,-1,high,8814001,8892007,1500,back,IC
2016-08-12 09:35:25+02:00,-1,low,8891140,8891009,2800,back,IC
2016-08-12 09:36:04+02:00,-1,medium,8891140,8892007,1500,away,IC
2016-08-12 09:36:25+02:00,-1,low,8892007,8893120,1800,away,IC
2016-08-12 09:36:32+02:00,-1,low,8893120,8894201,1800,away,IC
2016-08-12 09:36:37+02:00,-1,low,8894201,8894508,1800,away,IC
2016-08-12 15:17:47+02:00,-1,low,8892007,8819406,3600,away,IC
2016-08-12 16:51:08+02:00,-1,low,8891140,8892007,1500,away,IC
2016-08-12 16:51:31+02:00,-1,low,8892007,8893120,1800,away,IC
2016-08-12 16:51:36+02:00,-1,low,8893120,8894201,1800,away,IC
2016-08-12 16:51:40+02:00,-1,low,8894201,8894508,1800,away,IC
2016-08-12 21:19:33+02:00,-1,medium,8814001,8892007,500,back,IC
2016-08-13 10:12:01+02:00,-1,high,8892007,8891702,1800,back,IC
2016-08-13 10:37:52+02:00,-1,low,8821006,8896008,700,away,IC
2016-08-13 18:10:00+02:00,-1,medium,8891702,8891009,1800,away,IC
2016-08-16 07:28:04+02:00,-1,low,8892007,8821006,1800,away,IC
2016-08-16 08:37:45+02:00,-1,medium,8814001,8892007,400,back,IC
2016-08-16 09:26:39+02:00,-1,low,8891009,8892007,1800,away,IC
2016-08-16 14:49:46+02:00,-1,low,8892007,8891009,500,back,L
2016-08-16 18:07:00+02:00,-1,low,8821006,8892007,1800,back,IC
2016-08-16 18:46:25+02:00,-1,low,8821006,8892007,1800,back,IC
2016-08-17 07:27:05+02:00,-1,low,8894748,8893120,1800,back,IC
2016-08-17 09:59:14+02:00,-1,low,8821907,8821964,4200,away,IC
2016-08-17 09:59:21+02:00,-1,low,8821964,8821717,4200,away,IC
2016-08-17 09:59:26+02:00,-1,low,8821717,8821600,4200,away,IC
2016-08-17 09:59:32+02:00,-1,low,8821600,8821121,4200,away,IC
2016-08-17 10:13:53+02:00,-1,low,8821121,8821196,1800,back,IC
2016-08-17 10:27:08+02:00,-1,low,8821196,8894748,1800,back,IC
2016-08-17 10:27:13+02:00,-1,low,8894748,8894508,1800,back,IC
2016-08-17 10:44:50+02:00,-1,low,8894508,8894201,1800,back,IC
2016-08-17 10:44:55+02:00,-1,low,8894201,8893120,1800,back,IC
2016-08-17 11:12:10+02:00,-1,medium,8892007,8891009,1800,back,IC
2016-08-17 11:12:19+02:00,-1,medium,8893120,8892007,1800,back,IC
2016-08-17 17:14:48+02:00,-1,medium,8813003,8833001,400,away,IC
2016-08-17 20:02:59+02:00,-1,high,8893120,8894748,1800,away,IC
2016-08-17 21:25:20+02:00,-1,low,8814001,8814001,2200,back,IC
2016-08-17 21:26:03+02:00,-1,low,8892007,8814001,2800,away,IC
2016-08-18 07:36:30+02:00,-1,low,8894748,8893120,1800,back,IC
2016-08-18 13:07:48+02:00,-1,low,8891009,8892007,500,away,IC
2016-08-18 13:29:14+02:00,-1,medium,8812005,8844008,400,away,IC
2016-08-18 13:35:52+02:00,-1,medium,8813003,8400058,9200,away,IC
2016-08-18 14:45:41+02:00,-1,medium,8892007,8813003,2800,away,IC
2016-08-18 18:03:03+02:00,-1,medium,8813003,8892007,500,back,IC
2016-08-18 18:03:38+02:00,-1,medium,8893120,8894748,1800,away,IC
2016-08-18 18:07:19+02:00,-1,medium,8821006,8893120,1800,back,IC
2016-08-19 07:29:09+02:00,-1,low,8894748,8893120,1800,back,IC
2016-08-19 08:08:28+02:00,-1,medium,8893120,8821006,700,back,IC
2016-08-19 11:57:49+02:00,-1,medium,8892007,8892205,3600,back,IC
2016-08-19 18:44:02+02:00,-1,medium,8821006,8896008,700,away,IC
2016-08-21 13:52:15+02:00,-1,low,8892007,8893120,1800,away,IC
2016-08-21 13:52:43+02:00,-1,medium,8891140,8892007,1500,away,IC
2016-08-22 18:06:28+02:00,-1,medium,8821006,8893120,1800,back,IC
2016-08-23 07:49:20+02:00,-1,high,8893120,8821006,700,back,IC
2016-08-23 16:24:44+02:00,-1,medium,8814001,8872009,2000,back,IC
2016-08-23 21:10:22+02:00,-1,high,8892007,8814001,6900,away,ICT
2016-08-23 22:29:16+02:00,-1,medium,8895000,8892007,7900,away,P
2016-08-23 22:29:42+02:00,-1,medium,8895000,8892007,3600,back,IC
2016-08-24 12:28:05+02:00,-1,medium,8891009,8891009,800,back,IC
2016-08-24 12:28:07+02:00,-1,low,8896800,8892007,800,back,IC
2016-08-25 15:55:46+02:00,-1,medium,8814001,8883006,3700,back,IC
2016-08-26 12:24:30+02:00,-1,high,8892007,8893120,700,back,IC
2016-08-26 12:35:51+02:00,-1,high,8893120,8894201,700,back,IC
2016-08-26 12:56:10+02:00,-1,high,8894201,8894508,700,back,IC
2016-08-26 13:02:35+02:00,-1,high,8894508,8821121,700,back,IC
2016-08-26 13:16:15+02:00,-1,medium,8821121,8821006,700,back,IC
2016-08-30 15:55:37+02:00,-1,medium,8814001,8881166,3700,back,IC
2016-08-30 16:25:47+02:00,-1,medium,8892007,8891009,1500,back,IC
2016-09-01 00:30:28+02:00,-1,medium,8892007,8893534,500,away,L
2016-09-01 17:18:49+02:00,-1,high,8821006,8893120,700,away,IC
2016-09-03 08:39:12+02:00,-1,low,8892007,8891702,500,back,IC
2016-09-03 09:12:02+02:00,-1,low,8892007,8891702,500,back,IC
2016-09-03 15:16:54+02:00,-1,low,8892007,8895836,2200,away,IC
2016-09-04 11:12:22+02:00,-1,medium,8892007,8891009,1800,back,IC
2016-09-05 17:02:03+02:00,-1,high,8811304,8814308,53500,back,S
2016-09-05 19:23:39+02:00,-1,low,8893401,8893013,500,back,L
2016-09-05 21:40:50+02:00,-1,medium,8813003,8833001,500,away,IC
2016-09-05 21:41:23+02:00,-1,medium,8812005,8833001,500,away,IC
2016-09-06 07:59:52+02:00,-1,medium,8893120,8821006,700,back,IC
2016-09-06 12:13:12+02:00,-1,high,8891009,8892007,1500,away,IC
2016-09-06 16:45:32+02:00,-1,high,8813003,8821907,3400,away,IC
2016-09-06 17:28:01+02:00,-1,high,8892007,8891009,1500,back,IC
2016-09-06 17:31:45+02:00,-1,low,8893401,8893013,500,back,L
2016-09-07 07:42:58+02:00,-1,low,8892254,8892007,3600,away,IC
2016-09-07 08:36:49+02:00,-1,low,8893013,8893401,500,away,L
2016-09-07 13:25:36+02:00,-1,low,8821006,8813003,2000,back,IC
2016-09-08 07:37:03+02:00,-1,high,8893120,8821006,700,back,IC
2016-09-08 08:31:13+02:00,-1,low,8893013,8893401,500,away,L
2016-09-08 18:08:53+02:00,-1,low,8821006,8893120,1800,back,IC
2016-09-08 22:55:38+02:00,-1,medium,8821006,8813003,3100,back,IC
2016-09-09 08:43:51+02:00,-1,low,8893013,8893401,500,away,L
2016-09-09 09:23:02+02:00,-1,medium,8861200,8813003,2100,back,IC
2016-09-09 14:55:11+02:00,-1,low,8891009,8892007,2800,away,IC
2016-09-09 16:42:41+02:00,-1,low,8892007,8891009,1500,back,IC
2016-09-09 16:44:45+02:00,-1,high,8812005,8841004,400,away,IC
2016-09-09 19:10:22+02:00,-1,low,8813003,8833001,500,away,IC
2016-09-09 21:49:20+02:00,-1,high,8893559,8893526,500,away,L
2016-09-09 21:49:31+02:00,-1,low,8893559,8893526,500,away,L
2016-09-10 11:16:49+02:00,-1,low,8891009,8892007,500,away,IC
2016-09-10 14:48:41+02:00,-1,medium,8821006,8892007,2600,away,IC
2016-09-10 14:49:01+02:00,-1,high,8821006,8892007,2600,away,IC
2016-09-10 22:13:16+02:00,-1,low,8892007,8891009,1800,back,IC
2016-09-11 07:49:46+02:00,-1,low,8891009,8814001,500,away,IC
2016-09-11 16:19:42+02:00,-1,medium,8822004,8822004,2600,away,IC
2016-09-12 06:19:59+02:00,-1,low,8895000,8892007,3600,back,IC
2016-09-12 06:20:31+02:00,-1,medium,8895000,8892007,2200,back,IC
2016-09-12 08:27:06+02:00,-1,low,8893013,8893401,500,away,L
2016-09-12 17:11:27+02:00,-1,medium,8892007,8893013,1800,away,L
2016-09-12 18:57:51+02:00,-1,medium,8892007,8892254,3600,back,IC
2016-09-13 08:38:31+02:00,-1,low,8893013,8893401,500,away,L
2016-09-13 08:46:25+02:00,-1,medium,8892254,8892007,3600,away,IC
2016-09-13 16:38:11+02:00,-1,high,8814001,8884541,1700,back,IC
2016-09-13 17:34:01+02:00,-1,low,8893401,8893013,500,back,L
2016-09-13 17:55:44+02:00,-1,low,8892007,8813003,400,away,IC
2016-09-15 07:27:23+02:00,-1,low,8893013,8893401,500,away,L
2016-09-15 15:05:04+02:00,-1,medium,8813003,8833001,500,away,IC
2016-09-15 23:00:08+02:00,-1,low,8814001,8814001,3600,back,IC
2016-09-15 23:00:09+02:00,-1,low,8819406,8891009,3600,back,IC
2016-09-15 23:51:49+02:00,-1,low,8833001,8893039,500,back,IC
2016-09-16 09:01:19+02:00,-1,low,8891009,8892007,500,away,IC
2016-09-16 10:23:15+02:00,-1,medium,8831005,8833001,2600,back,IC
2016-09-16 10:41:58+02:00,-1,low,8821006,8821121,1800,back,
2016-09-16 10:42:03+02:00,-1,low,8821121,8821196,1800,back,
2016-09-16 10:42:08+02:00,-1,low,8821196,8894748,1800,back,
2016-09-16 10:42:14+02:00,-1,low,8894748,8894508,1800,back,
2016-09-16 10:42:18+02:00,-1,low,8894508,8894201,1800,back,
2016-09-16 10:42:22+02:00,-1,medium,8894201,8893120,1800,back,
2016-09-16 10:42:26+02:00,-1,low,8893120,8892007,1800,back,
2016-09-16 10:42:30+02:00,-1,low,8892007,8891009,1800,back,
2016-09-16 10:42:34+02:00,-1,low,8891009,8891702,1800,back,
2016-09-16 11:44:17+02:00,-1,high,8822269,8822251,53300,away,S
2016-09-16 11:55:51+02:00,-1,low,8831039,8833001,1500,back,IC
2016-09-16 14:45:50+02:00,-1,medium,8811213,8811304,93200,back,S
2016-09-16 15:16:05+02:00,-1,medium,8811213,8811221,23700,away,S
2016-09-16 16:36:55+02:00,-1,high,8812005,8822004,4500,away,IC
2016-09-16 16:37:07+02:00,-1,high,8812005,8822004,4500,away,IC
2016-09-16 16:43:24+02:00,-1,low,8813003,8812005,8000,away,
2016-09-16 16:43:35+02:00,-1,low,8812005,8812021,8000,away,
2016-09-16 16:43:41+02:00,-1,low,8812021,8812047,8000,away,
2016-09-16 16:43:45+02:00,-1,low,8812047,8812211,8000,away,
2016-09-16 16:43:49+02:00,-1,low,8812211,8812229,8000,away,
2016-09-16 16:43:54+02:00,-1,low,8812229,8812237,8000,away,
2016-09-16 16:43:58+02:00,-1,low,8812237,8812245,8000,away,
2016-09-16 16:44:04+02:00,-1,low,8812237,8812245,8000,away,
2016-09-16 16:44:08+02:00,-1,low,8812245,8812252,8000,away,
2016-09-16 16:44:13+02:00,-1,low,8812252,8812260,8000,away,
2016-09-16 16:44:18+02:00,-1,low,8812260,8895836,8000,away,
2016-09-16 16:44:23+02:00,-1,low,8895836,8895802,8000,away,
2016-09-16 16:44:28+02:00,-1,low,8895802,8895091,8000,away,
2016-09-16 16:44:33+02:00,-1,low,8895091,8895000,8000,away,
2016-09-16 16:48:24+02:00,-1,high,8892007,8821006,1800,away,IC
2016-09-16 16:48:28+02:00,-1,medium,8812005,8893401,32200,away,S
2016-09-16 16:50:14+02:00,-1,medium,8892007,8821006,1800,away,IC
2016-09-16 16:50:18+02:00,-1,high,8892007,8821006,1800,away,IC
2016-09-16 16:59:45+02:00,-1,medium,8812047,8812062,32200,away,S
2016-09-16 17:07:13+02:00,-1,low,8813003,8811288,23700,away,S
2016-09-16 17:11:11+02:00,-1,high,8812005,8811304,86500,away,S
2016-09-16 18:01:06+02:00,-1,low,8821337,8822004,11700,back,S
2016-09-16 18:01:19+02:00,-1,low,8821337,8814001,11700,back,S
2016-09-16 19:33:30+02:00,-1,low,8831005,8812005,7300,away,P
2016-09-16 22:04:33+02:00,-1,low,8892007,8896149,400,back,IC
2016-09-16 23:18:29+02:00,-1,high,8863008,8841004,2400,away,IC
2016-09-17 01:44:57+02:00,-1,high,8833001,8831401,2600,away,IC
2016-09-17 01:45:08+02:00,-1,low,8833001,8831401,2600,away,IC
2016-09-17 09:29:47+02:00,-1,low,8814001,8866001,2100,away,IC
2016-09-17 10:44:42+02:00,-1,low,8814001,8833001,1500,away,IC
2016-09-17 10:45:02+02:00,-1,low,8872009,8814001,3100,away,IC
2016-09-17 12:08:59+02:00,-1,low,8874567,8874583,4500,away,L
2016-09-17 12:09:05+02:00,-1,low,8874005,8874567,4500,away,L
2016-09-17 12:30:56+02:00,-1,medium,8813003,8872009,3100,back,IC
2016-09-17 14:22:53+02:00,-1,low,8821006,8822004,2000,back,IC
2016-09-17 14:23:03+02:00,-1,low,8821006,8822004,11900,back,S
